word,sentiment,lexicon,score
assassin,negative,bing,-1
assecond,negative,bing,-1
assed,negative,bing,-1
assent,negative,bing,-1
assenz,negative,bing,-1
asset-di-sangu,negative,bing,-1
assill,negative,bing,-1
assorb,negative,bing,-1
assord,negative,bing,-2
assurd,negative,bing,-2
asten-da,negative,bing,-1
asti,negative,bing,-1
astut,negative,bing,-2
astuz,negative,bing,-2
atroc,negative,bing,-3
atrof,negative,bing,-1
attacc,negative,bing,-1
attacc-di-cuor,negative,bing,-1
attacc-furios,negative,bing,-1
attrit,negative,bing,-1
audac,negative,bing,-1
auster,negative,bing,-1
aut-golp,negative,bing,-1
aut-interess,negative,bing,-1
aut-umil,negative,bing,-1
autocr,negative,bing,-1
autocrat,negative,bing,-1
autodistrutt,negative,bing,-1
autolesion,negative,bing,-1
autoritar,negative,bing,-1
avar,negative,bing,-2
avariz,negative,bing,-2
avid,negative,bing,-2
avvent,negative,bing,-1
avversar,negative,bing,-1
avversion,negative,bing,-1
avvers,negative,bing,-2
avvert,negative,bing,-1
avvilent,negative,bing,-1
avvil,negative,bing,-1
avvit,negative,bing,-1
avvizz,negative,bing,-1
avvolt,negative,bing,-1
babbe,negative,bing,-1
bagarin,negative,bing,-1
baglior,negative,bing,-1
banal,negative,bing,-2
banalizz,negative,bing,-2
band,negative,bing,-1
barbar,negative,bing,-1
barcoll,negative,bing,-1
bassezz,negative,bing,-1
bass-rating,negative,bing,-1
bastard,negative,bing,-3
baston,negative,bing,-2
battaglier,negative,bing,-1
battibecc,negative,bing,-1
batt-d'arrest,negative,bing,-1
batt,negative,bing,-1
beff,negative,bing,-1
beffard,negative,bing,-2
bellic,negative,bing,-1
belliger,negative,bing,-1
berlin,negative,bing,-1
bestemm,negative,bing,-1
bestial,negative,bing,-1
biasimevol,negative,bing,-1
bigott,negative,bing,-1
birichin,negative,bing,-1
bisogn,negative,bing,-1
bizz,negative,bing,-1
bizzarr,negative,bing,-1
blah,negative,bing,-1
bland,negative,bing,-1
blasfem,negative,bing,-1
blater,negative,bing,-1
blocc,negative,bing,-1
blocc-stradal,negative,bing,-1
boicott,negative,bing,-1
bomb,negative,bing,-1
bombard,negative,bing,-1
borbott,negative,bing,-1
bottin,negative,bing,-1
bradip,negative,bing,-1
bramos,negative,bing,-1
brav,negative,bing,-1
break-me,negative,bing,-1
break-up,negative,bing,-1
briccon,negative,bing,-1
brivid,negative,bing,-1
bronc,negative,bing,-1
brontol,negative,bing,-1
brontolon,negative,bing,-1
bruc,negative,bing,-1
brusc,negative,bing,-1
brutal,negative,bing,-1
brutalizz,negative,bing,-1
brut,negative,bing,-1
bruttezz,negative,bing,-1
brutt,negative,bing,-1
bug,negative,bing,-1
bugiard,negative,bing,-2
bui,negative,bing,-1
bull,negative,bing,-1
bullism,negative,bing,-1
buon-merc,negative,bing,-1
burattin,negative,bing,-1
burber,negative,bing,-2
burl,negative,bing,-1
buss,negative,bing,-1
bust,negative,bing,-1
cacciatorpedin,negative,bing,-1
cadent,negative,bing,-1
cad,negative,bing,-1
cad-in-disgraz,negative,bing,-1
cagn,negative,bing,-1
calam,negative,bing,-1
calamit,negative,bing,-1
calpest,negative,bing,-1
calunn,negative,bing,-2
calvar,negative,bing,-1
calviz,negative,bing,-1
campagn-pubblicitar,negative,bing,-1
cancell,negative,bing,-1
cancer,negative,bing,-1
cancr,negative,bing,-1
cannibal,negative,bing,-1
cannibalizz,negative,bing,-1
canton,negative,bing,-1
caos,negative,bing,-1
caotic,negative,bing,-1
capitol,negative,bing,-1
capitombol,negative,bing,-1
capricc,negative,bing,-1
capr-espiator,negative,bing,-1
capsiz,negative,bing,-1
carc,negative,bing,-1
carent,negative,bing,-1
carenz,negative,bing,-1
carest,negative,bing,-1
caricatur,negative,bing,-1
caric,negative,bing,-1
carneficin,negative,bing,-1
car,negative,bing,-1
carp,negative,bing,-1
carregg,negative,bing,-1
cartegg,negative,bing,-1
carton-anim,negative,bing,-1
cascant,negative,bing,-1
cass-integr,negative,bing,-1
castig,negative,bing,-1
castr,negative,bing,-1
casual,negative,bing,-1
cataclism,negative,bing,-1
catastrof,negative,bing,-1
categor,negative,bing,-1
catt-condott,negative,bing,-1
cattiver,negative,bing,-2
catt,negative,bing,-2
catt-umor,negative,bing,-2
caustic,negative,bing,-1
cautel,negative,bing,-1
cauzio-1l,negative,bing,-1
cavill,negative,bing,-1
cavit,negative,bing,-1
cazz,negative,bing,-2
cedevol,negative,bing,-1
cencios,negative,bing,-1
censur,negative,bing,-1
cepp,negative,bing,-1
cestin,negative,bing,-1
che-odi,negative,bing,-1
chius,negative,bing,-1
ciarl,negative,bing,-2
ciarlat,negative,bing,-2
cicatric,negative,bing,-1
ciec,negative,bing,-1
cigol,negative,bing,-1
cinic,negative,bing,-2
cinism,negative,bing,-2
cipigl,negative,bing,-1
circospezion,negative,bing,-1
cit-in-giudiz,negative,bing,-1
clamor,negative,bing,-1
clientel,negative,bing,-1
codard,negative,bing,-2
coercit,negative,bing,-1
coercizion,negative,bing,-1
coglion,negative,bing,-3
coinvolt,negative,bing,-1
coller,negative,bing,-1
collud,negative,bing,-1
collusion,negative,bing,-1
colp,negative,bing,-1
colpevol,negative,bing,-1
colp-di-scen,negative,bing,-1
coltell,negative,bing,-1
combustion,negative,bing,-1
comic,negative,bing,-1
commiser,negative,bing,-2
compless,negative,bing,-1
complet,negative,bing,-1
complic,negative,bing,-1
comport-mal,negative,bing,-1
compromess,negative,bing,-1
compuls,negative,bing,-1
comun,negative,bing,-1
con-ari-di-sfid,negative,bing,-2
con-cattiver,negative,bing,-3
con-rabb,negative,bing,-2
con-rilutt,negative,bing,-2
con-sospett,negative,bing,-1
conced,negative,bing,-1
concentr,negative,bing,-1
concession,negative,bing,-1
concess,negative,bing,-1
concis,negative,bing,-1
condann,negative,bing,-1
condiscendent,negative,bing,-1
condiscend,negative,bing,-1
confess,negative,bing,-1
confession,negative,bing,-1
conflitt,negative,bing,-2
conflittual,negative,bing,-2
confond,negative,bing,-1
confront,negative,bing,-1
confusion,negative,bing,-1
confus,negative,bing,-1
conf,negative,bing,-1
confut,negative,bing,-1
congel,negative,bing,-1
congestion,negative,bing,-1
contag,negative,bing,-1
contamin,negative,bing,-2
contenz,negative,bing,-2
contes,negative,bing,-1
contest,negative,bing,-1
contorc,negative,bing,-1
contorsion,negative,bing,-1
contradd,negative,bing,-1
contraddittor,negative,bing,-1
contraddizion,negative,bing,-1
contrariet,negative,bing,-1
contrattemp,negative,bing,-1
contravven,negative,bing,-1
controproducent,negative,bing,-1
controvers,negative,bing,-1
controvogl,negative,bing,-2
contusion,negative,bing,-1
contus,negative,bing,-1
convuls,negative,bing,-1
corrod,negative,bing,-1
corromp,negative,bing,-1
corrosion,negative,bing,-1
corros,negative,bing,-1
corrott,negative,bing,-2
corruttor,negative,bing,-1
corruttr,negative,bing,-1
corruzion,negative,bing,-1
cortin-fumogen,negative,bing,-1
cospicu,negative,bing,-1
cospir,negative,bing,-1
costern,negative,bing,-1
costos,negative,bing,-2
costrizion,negative,bing,-1
costruzion,negative,bing,-1
cov,negative,bing,-1
cramp,negative,bing,-1
craps,negative,bing,-1
crash,negative,bing,-1
crass,negative,bing,-1
credul,negative,bing,-1
credulon,negative,bing,-1
crep,negative,bing,-1
cricc,negative,bing,-1
crimi-1l,negative,bing,-1
crimin,negative,bing,-2
cris,negative,bing,-1
critic,negative,bing,-2
croll,negative,bing,-1
cronic,negative,bing,-1
crud,negative,bing,-1
crudel,negative,bing,-1
crudelt,negative,bing,-3
cuccett,negative,bing,-1
cull,negative,bing,-1
cune,negative,bing,-1
cup,negative,bing,-1
da-incub,negative,bing,-3
dan-anbil,negative,bing,-1
dann,negative,bing,-1
dan-anzion,negative,bing,-1
dannegg,negative,bing,-1
dannos,negative,bing,-2
dar-l'ostrac,negative,bing,-1
debilit,negative,bing,-1
deb,negative,bing,-1
debol,negative,bing,-1
debol-di-ment,negative,bing,-1
debolezz,negative,bing,-1
debol-di-cuor,negative,bing,-1
decad,negative,bing,-2
decadent,negative,bing,-2
declam,negative,bing,-1
declin,negative,bing,-2
decrement,negative,bing,-2
decrepitezz,negative,bing,-2
decrep,negative,bing,-2
ded,negative,bing,-1
deficient,negative,bing,-2
deflettor,negative,bing,-1
deform,negative,bing,-1
defunt,negative,bing,-1
degener,negative,bing,-1
degen,negative,bing,-1
degn,negative,bing,-1
degrad,negative,bing,-2
delinquent,negative,bing,-1
delir,negative,bing,-2
delud,negative,bing,-2
deludent,negative,bing,-2
delus,negative,bing,-2
delusion,negative,bing,-2
demol,negative,bing,-1
demon,negative,bing,-1
demoniac,negative,bing,-1
demonizz,negative,bing,-1
demoralizz,negative,bing,-1
denigr,negative,bing,-2
denigrator,negative,bing,-2
dens,negative,bing,-1
denunc,negative,bing,-2
deplor,negative,bing,-1
deplorevol,negative,bing,-3
deprav,negative,bing,-3
deprec,negative,bing,-1
depred,negative,bing,-1
depression,negative,bing,-2
depress,negative,bing,-2
deprezz,negative,bing,-1
depriment,negative,bing,-2
deprim,negative,bing,-2
depriv,negative,bing,-1
derid,negative,bing,-1
derision,negative,bing,-1
derisor,negative,bing,-1
desert,negative,bing,-1
desitit,negative,bing,-1
desol,negative,bing,-2
desolat,negative,bing,-2
despot,negative,bing,-1
desquam,negative,bing,-1
destabilizz,negative,bing,-1
deterior,negative,bing,-2
deterrent,negative,bing,-1
detest,negative,bing,-3
detratt,negative,bing,-1
detrazion,negative,bing,-1
devast,negative,bing,-1
dev,negative,bing,-1
deviazion,negative,bing,-1
di-nessun-valor,negative,bing,-1
di-rimprover,negative,bing,-1
di-scart,negative,bing,-1
di-second-class,negative,bing,-1
di-sinistr,negative,bing,-1
di-travers,negative,bing,-1
diabol,negative,bing,-1
diametral,negative,bing,-1
diamin,negative,bing,-2
diatrib,negative,bing,-1
diavoler,negative,bing,-1
dibatt,negative,bing,-1
difens,negative,bing,-1
difett,negative,bing,-1
diffam,negative,bing,-2
diffamator,negative,bing,-2
difficil,negative,bing,-1
difficolt,negative,bing,-1
diffid,negative,bing,-1
diffident,negative,bing,-1
dilag,negative,bing,-1
dilemm,negative,bing,-1
diluv,negative,bing,-1
dimentic,negative,bing,-1
diment,negative,bing,-1
dimess,negative,bing,-1
diminu,negative,bing,-1
dipan,negative,bing,-1
dirompent,negative,bing,-1
disaccord,negative,bing,-1
disadatt,negative,bing,-1
disaffezion,negative,bing,-1
disag,negative,bing,-1
disallin,negative,bing,-1
disin-anmor,negative,bing,-1
disapprov,negative,bing,-1
disappunt,negative,bing,-2
disarm,negative,bing,-2
disastr,negative,bing,-2
disattent,negative,bing,-2
disattenzion,negative,bing,-2
discar,negative,bing,-1
disces,negative,bing,-1
disciolt,negative,bing,-1
discombobul,negative,bing,-1
disconosc,negative,bing,-1
discontinu,negative,bing,-1
discord,negative,bing,-1
discred,negative,bing,-1
discrep,negative,bing,-1
discrimin,negative,bing,-1
discut,negative,bing,-1
disdegn,negative,bing,-2
diserzion,negative,bing,-1
disfac,negative,bing,-1
disfatt,negative,bing,-1
disgraz,negative,bing,-2
disgust,negative,bing,-3
disillu,negative,bing,-2
disillus,negative,bing,-2
disinform,negative,bing,-1
disingann,negative,bing,-1
disintegr,negative,bing,-1
disinteress,negative,bing,-1
disobbedient,negative,bing,-1
disobbed,negative,bing,-1
disoccup,negative,bing,-1
disonest,negative,bing,-3
disonor,negative,bing,-2
disonorevol,negative,bing,-2
disordi-nat,negative,bing,-1
disordin,negative,bing,-2
disorganizz,negative,bing,-2
disorient,negative,bing,-1
dispar,negative,bing,-1
dispend,negative,bing,-1
dispens,negative,bing,-1
disper,negative,bing,-1
dispers,negative,bing,-1
dispett,negative,bing,-1
dispiac,negative,bing,-2
dispot,negative,bing,-1
dispreg,negative,bing,-3
disprezz,negative,bing,-3
disp,negative,bing,-1
dissens,negative,bing,-1
dissenzient,negative,bing,-1
disserviz,negative,bing,-1
dissident,negative,bing,-1
dissimul,negative,bing,-1
dissocial,negative,bing,-1
dissol,negative,bing,-1
dissolutezz,negative,bing,-1
dissolu,negative,bing,-1
disson,negative,bing,-1
dissuad,negative,bing,-1
dissuas,negative,bing,-1
distacc,negative,bing,-1
distorsion,negative,bing,-1
distort,negative,bing,-1
distrarr,negative,bing,-1
distratt,negative,bing,-1
distrazion,negative,bing,-1
distrugg,negative,bing,-1
distrutt,negative,bing,-1
distruzion,negative,bing,-1
disturb,negative,bing,-1
disuguagl,negative,bing,-1
disuman,negative,bing,-3
disumanizz,negative,bing,-1
disum,negative,bing,-1
disun,negative,bing,-1
disvalor,negative,bing,-1
dittator,negative,bing,-1
dittatorial,negative,bing,-1
divergent,negative,bing,-1
division,negative,bing,-1
dogmat,negative,bing,-1
dol,negative,bing,-1
dolor,negative,bing,-2
don-1iol,negative,bing,-1
dragon,negative,bing,-1
drastic,negative,bing,-1
dre-nant,negative,bing,-1
dren,negative,bing,-1
drog,negative,bing,-1
dron,negative,bing,-1
dubb,negative,bing,-1
dubbios,negative,bing,-1
dubit,negative,bing,-1
due-facc,negative,bing,-1
dur,negative,bing,-1
ebollizion,negative,bing,-1
eccedent,negative,bing,-1
eccentr,negative,bing,-1
eccess,negative,bing,-1
ecchim,negative,bing,-1
ecliss,negative,bing,-1
edonist,negative,bing,-1
effig,negative,bing,-1
egemon,negative,bing,-1
egocentr,negative,bing,-1
egoism,negative,bing,-1
egoist,negative,bing,-1
egoman,negative,bing,-1
egot,negative,bing,-1
egreg,negative,bing,-1
elimin,negative,bing,-1
elud,negative,bing,-1
emac,negative,bing,-1
emergent,negative,bing,-1
empiet,negative,bing,-1
empi,negative,bing,-1
enerv,negative,bing,-1
enfat,negative,bing,-1
epidem,negative,bing,-1
equivoc,negative,bing,-1
erbacc,negative,bing,-1
eres,negative,bing,-1
eret,negative,bing,-1
erod,negative,bing,-1
erosion,negative,bing,-1
erpic,negative,bing,-1
errant,negative,bing,-1
errat,negative,bing,-1
erron,negative,bing,-1
error,negative,bing,-1
error-di-calcol,negative,bing,-1
eruzion,negative,bing,-1
esacerb,negative,bing,-1
esager,negative,bing,-1
esasper,negative,bing,-2
esasperat,negative,bing,-2
esaur,negative,bing,-1
esaust,negative,bing,-1
esca,negative,bing,-1
esclusion,negative,bing,-1
escogit,negative,bing,-1
esecr,negative,bing,-1
esigent,negative,bing,-1
esil,negative,bing,-1
esit,negative,bing,-1
esorbit,negative,bing,-1
esort,negative,bing,-1
espedient,negative,bing,-1
espell,negative,bing,-1
esplod,negative,bing,-1
esplosion,negative,bing,-1
esplos,negative,bing,-1
espropr,negative,bing,-1
espung,negative,bing,-1
espurg,negative,bing,-1
essicc,negative,bing,-1
estingu,negative,bing,-1
estorc,negative,bing,-1
estorsion,negative,bing,-1
estrane,negative,bing,-1
estran,negative,bing,-1
estrem,negative,bing,-1
evasion,negative,bing,-1
evas,negative,bing,-1
evir,negative,bing,-1
evit,negative,bing,-2
fa-mal,negative,bing,-1
fa-riflett,negative,bing,-1
fa-schif,negative,bing,-1
fabbric,negative,bing,-1
facinor,negative,bing,-1
facond,negative,bing,-1
fagocit,negative,bing,-1
fallac,negative,bing,-1
fall,negative,bing,-1
fall-out,negative,bing,-1
fals,negative,bing,-1
falsific,negative,bing,-2
falsit,negative,bing,-2
fam,negative,bing,-1
famiger,negative,bing,-1
fa-nat,negative,bing,-1
fang,negative,bing,-1
fangos,negative,bing,-1
fantas,negative,bing,-1
fant,negative,bing,-1
far-infur,negative,bing,-1
farabutt,negative,bing,-2
far-il-pignol,negative,bing,-1
far-la-predic,negative,bing,-1
farfugl,negative,bing,-1
fars,negative,bing,-1
provocator,negative,bing,-2
farsesc,negative,bing,-1
fascism,negative,bing,-1
fascist,negative,bing,-1
fastid,negative,bing,-2
fastidios,negative,bing,-2
fastos,negative,bing,-1
fatal,negative,bing,-1
fatalist,negative,bing,-1
fatic,negative,bing,-1
fatiqu,negative,bing,-1
fatiscent,negative,bing,-3
fatuit,negative,bing,-1
fatu,negative,bing,-1
febbr,negative,bing,-1
febbril,negative,bing,-1
fecc,negative,bing,-1
fer,negative,bing,-1
feroc,negative,bing,-1
ferroviar,negative,bing,-1
fetid,negative,bing,-3
fetor,negative,bing,-3
fiacc,negative,bing,-1
fiasc,negative,bing,-2
fibb,negative,bing,-1
fic,negative,bing,-1
ficca-nas,negative,bing,-1
fictio-nal,negative,bing,-1
fing,negative,bing,-1
fint,negative,bing,-1
finzion,negative,bing,-1
fiocc,negative,bing,-1
fisc,negative,bing,-1
fittiz,negative,bing,-1
fiut,negative,bing,-1
flagell,negative,bing,-1
flagging,negative,bing,-1
flagrant,negative,bing,-1
flession,negative,bing,-1
fob,negative,bing,-1
fobic,negative,bing,-1
focola,negative,bing,-1
foll,negative,bing,-1
follement,negative,bing,-1
forcellin,negative,bing,-1
forg,negative,bing,-1
for,negative,bing,-1
formicol,negative,bing,-1
forsenn,negative,bing,-1
fort,negative,bing,-1
foruncol,negative,bing,-1
fosc,negative,bing,-1
fragil,negative,bing,-1
fraintend,negative,bing,-1
framment,negative,bing,-1
frantum,negative,bing,-1
frastagl,negative,bing,-1
frattur,negative,bing,-1
fraudolent,negative,bing,-2
fredd,negative,bing,-1
frenes,negative,bing,-1
frenet,negative,bing,-1
frett,negative,bing,-1
frettol,negative,bing,-2
frigid,negative,bing,-1
frod,negative,bing,-1
frust,negative,bing,-1
frustr,negative,bing,-1
frustrant,negative,bing,-2
frustrazion,negative,bing,-2
fugac,negative,bing,-1
fugg,negative,bing,-1
fuggit,negative,bing,-1
fuliggin,negative,bing,-1
fulmin,negative,bing,-1
fumant,negative,bing,-1
fum,negative,bing,-1
fuor-mod,negative,bing,-1
fuor-strad,negative,bing,-1
fuorilegg,negative,bing,-1
fuorv,negative,bing,-1
furb,negative,bing,-1
furfant,negative,bing,-1
fur,negative,bing,-1
furios,negative,bing,-1
furor,negative,bing,-1
furt,negative,bing,-1
fustig,negative,bing,-1
futil,negative,bing,-1
gaff,negative,bing,-1
gasp,negative,bing,-1
gel,negative,bing,-1
gelos,negative,bing,-1
gem,negative,bing,-1
genocid,negative,bing,-1
ghett,negative,bing,-1
ghosting,negative,bing,-1
giacent,negative,bing,-1
gingill,negative,bing,-1
giocattol,negative,bing,-1
giorn-del-giudiz-universal,negative,bing,-1
giudic-mal,negative,bing,-1
giudiz-sbagl,negative,bing,-1
giunc,negative,bing,-1
giur-di-rinunc,negative,bing,-1
gocciol,negative,bing,-1
goffaggin,negative,bing,-1
goff,negative,bing,-1
gonf,negative,bing,-1
gonfior,negative,bing,-1
gracil,negative,bing,-1
graff,negative,bing,-1
grass,negative,bing,-1
grav,negative,bing,-3
gravement,negative,bing,-3
gravit,negative,bing,-1
gravos,negative,bing,-2
grec,negative,bing,-1
gregg,negative,bing,-1
grezz,negative,bing,-1
grid,negative,bing,-1
grigl,negative,bing,-1
grondai,negative,bing,-1
grossolan,negative,bing,-2
grossol,negative,bing,-2
grott,negative,bing,-1
grottesc,negative,bing,-1
grovigl,negative,bing,-1
gua,negative,bing,-1
guard-in-cagnesc,negative,bing,-1
guastafest,negative,bing,-1
guast,negative,bing,-1
ide-sbagl,negative,bing,-1
idiot,negative,bing,-1
idioz,negative,bing,-1
ig-nar,negative,bing,-1
ignobil,negative,bing,-2
ignomin,negative,bing,-1
ignor,negative,bing,-1
il-caos,negative,bing,-1
il-mal-di-test,negative,bing,-1
illec,negative,bing,-2
illegal,negative,bing,-2
illegg,negative,bing,-2
illegittim,negative,bing,-2
illog,negative,bing,-1
illud,negative,bing,-1
illus,negative,bing,-1
illusion,negative,bing,-1
illusor,negative,bing,-1
imbarazz,negative,bing,-1
imbecill,negative,bing,-3
imbrogl,negative,bing,-2
immaterial,negative,bing,-1
immatur,negative,bing,-1
imminent,negative,bing,-1
immisc,negative,bing,-1
immobil,negative,bing,-1
immobilizz,negative,bing,-1
immodest,negative,bing,-1
immond,negative,bing,-1
immoral,negative,bing,-2
impallid,negative,bing,-1
impass,negative,bing,-1
impaur,negative,bing,-1
impazient,negative,bing,-1
impazz,negative,bing,-1
impedent,negative,bing,-1
imped,negative,bing,-1
impegn,negative,bing,-1
impenitent,negative,bing,-1
impens,negative,bing,-1
impensabil,negative,bing,-2
imperdon,negative,bing,-2
imperdonabil,negative,bing,-2
imperfett,negative,bing,-1
imperfezion,negative,bing,-1
imperial,negative,bing,-1
imper,negative,bing,-1
impersonal,negative,bing,-1
impertinent,negative,bing,-2
impetu,negative,bing,-1
impietr,negative,bing,-1
impigl,negative,bing,-1
implac,negative,bing,-1
implic,negative,bing,-1
implod,negative,bing,-1
impolit,negative,bing,-1
imponent,negative,bing,-1
impopol,negative,bing,-1
imporr,negative,bing,-1
importun,negative,bing,-1
imposizion,negative,bing,-1
imposs,negative,bing,-1
impossibil,negative,bing,-1
impotent,negative,bing,-1
impover,negative,bing,-1
imprec,negative,bing,-1
imprecis,negative,bing,-1
imprecision,negative,bing,-1
imprepar,negative,bing,-1
impreved,negative,bing,-1
imprev,negative,bing,-1
imprigion,negative,bing,-1
improb,negative,bing,-1
improdutt,negative,bing,-1
impropr,negative,bing,-1
impropriet,negative,bing,-1
improvvis,negative,bing,-1
imprudent,negative,bing,-1
impudent,negative,bing,-1
impugn,negative,bing,-1
impuls,negative,bing,-1
impun,negative,bing,-1
impur,negative,bing,-1
in-cal,negative,bing,-1
in-ebollizion,negative,bing,-1
in-fug,negative,bing,-1
in-mancanz-di,negative,bing,-1
in-manier-illog,negative,bing,-1
in-mod-irregol,negative,bing,-1
in-mod-non-corrett,negative,bing,-1
in-pien-regol,negative,bing,-1
in-pred-al-panic,negative,bing,-1
in-ritard,negative,bing,-1
in-secc,negative,bing,-1
inaccett,negative,bing,-2
inaccettabil,negative,bing,-2
inadatt,negative,bing,-1
inadeguatezz,negative,bing,-2
inadempient,negative,bing,-1
inaffid,negative,bing,-2
inammiss,negative,bing,-2
inarticol,negative,bing,-1
inaspettat,negative,bing,-1
inaspett,negative,bing,-1
inatt,negative,bing,-1
inattu,negative,bing,-1
incapac,negative,bing,-1
incasin,negative,bing,-1
incaut,negative,bing,-1
inca,negative,bing,-1
incendiar,negative,bing,-1
imbellett,negative,bing,-1
incert,negative,bing,-1
incess,negative,bing,-1
incessant,negative,bing,-1
inciamp,negative,bing,-1
incident,negative,bing,-1
incit,negative,bing,-1
incivil,negative,bing,-3
incivilt,negative,bing,-3
inclement,negative,bing,-1
incoerent,negative,bing,-1
incommensur,negative,bing,-1
incompar,negative,bing,-1
incomparabil,negative,bing,-1
incompat,negative,bing,-1
incompatibil,negative,bing,-1
incompetent,negative,bing,-3
incomp,negative,bing,-1
incomplet,negative,bing,-1
incomprens,negative,bing,-1
incomprension,negative,bing,-1
incompres,negative,bing,-1
inconcep,negative,bing,-1
inconcepibil,negative,bing,-3
inconcil,negative,bing,-1
incongruent,negative,bing,-1
incongru,negative,bing,-1
inconsapevol,negative,bing,-1
inconseguent,negative,bing,-1
inconsiderat,negative,bing,-1
inconsistent,negative,bing,-1
inconsol,negative,bing,-1
inconvenient,negative,bing,-1
incorregg,negative,bing,-1
incorreggibil,negative,bing,-1
incost,negative,bing,-1
incred,negative,bing,-1
incredibil,negative,bing,-1
incredul,negative,bing,-1
incresp,negative,bing,-1
incub,negative,bing,-3
inculc,negative,bing,-1
indeb,negative,bing,-1
indebol,negative,bing,-1
indecent,negative,bing,-2
indecision,negative,bing,-1
indecis,negative,bing,-1
indecor,negative,bing,-1
indefin,negative,bing,-1
indegn,negative,bing,-1
indelic,negative,bing,-1
indennizz,negative,bing,-1
indesider,negative,bing,-1
indetermin,negative,bing,-1
indetermi-1tezz,negative,bing,-1
indic,negative,bing,-1
indietr,negative,bing,-1
indifend,negative,bing,-1
indifes,negative,bing,-1
indifferent,negative,bing,-1
indigent,negative,bing,-1
indigest,negative,bing,-1
indign,negative,bing,-1
indimostr,negative,bing,-1
indirett,negative,bing,-1
indirizz-sbagl,negative,bing,-1
indiscern,negative,bing,-1
indisciplin,negative,bing,-1
indiscret,negative,bing,-1
indiscrezion,negative,bing,-1
indiscrimi-1t,negative,bing,-1
indiscrimin,negative,bing,-1
indispett,negative,bing,-1
indispost,negative,bing,-1
indistingu,negative,bing,-1
